# Image point observations
# 2D pixel coordinates of GCPs in each image
# Origin: top-left of image (matches OpenCV convention)
# x increases rightward, y increases downward
# Units: pixels
# Columns: point_id  image_name  x  y

4010	IMG_0322	668.756		2464.952
4011	IMG_0322	687.364		1978.992
4012	IMG_0322	705.769		1476.218
4016	IMG_0322	1203.732	2744.856
4017	IMG_0322	1233.143	2202.620
4018	IMG_0322	1244.990	1718.224
4019	IMG_0322	1262.549	1234.487
4022	IMG_0322	1752.000	2975.000
4023	IMG_0322	1771.835	2465.164
4025	IMG_0322	1821.000	1474.000
4029	IMG_0322	2165.571	2691.335
4030	IMG_0322	2208.995	2199.480
4031	IMG_0322	2217.680	1746.555
4032	IMG_0322	2241.122	1261.659
5019	IMG_0322	499.863		1155.644
5026	IMG_0322	708.756		1178.611
5078	IMG_0322	2030.645	1295.366
5079	IMG_0322	2051.176	1091.381
6003	IMG_0322	600.000		941.000
6004	IMG_0322	403.000		822.000
6005	IMG_0322	121.000		675.000
6010	IMG_0322	1162.000	975.000
6011	IMG_0322	1042.000	858.000
6012	IMG_0322	823.000		682.000
6013	IMG_0322	112.000		65.000
6016	IMG_0322	1717.000	953.000
6018	IMG_0322	1363.212	93.610
6021	IMG_0322	2246.000	1029.000
6022	IMG_0322	2313.000	911.000
6023	IMG_0322	2417.547	768.565
6024	IMG_0322	2808.573	156.485
7001	IMG_0322	2549.000	1190.000
7002	IMG_0322	3011.321	970.668
7003	IMG_0322	2539.000	1745.000
7004	IMG_0322	2953.101	1956.962
7005	IMG_0322	2513.000	2434.000
1065	IMG_0323	100.582		2264.052
1066	IMG_0323	106.710		2112.329
1067	IMG_0323	196.344		2085.425
1069	IMG_0323	341.973		801.703
1070	IMG_0323	329.106		1483.097
1071	IMG_0323	343.547		1281.107
1072	IMG_0323	367.636		705.000
1073	IMG_0323	336.459		1736.068
1074	IMG_0323	326.823		2467.497
1075	IMG_0323	338.229		2292.845
1076	IMG_0323	412.361		1525.657
1077	IMG_0323	528.095		1184.768
1078	IMG_0323	569.445		1020.686
1079	IMG_0323	582.050		1288.004
1080	IMG_0323	592.044		798.023
1081	IMG_0323	570.349		1736.216
1082	IMG_0323	587.508		2270.423
1083	IMG_0323	600.723		2107.496
1084	IMG_0323	715.487		1795.520
1085	IMG_0323	729.122		2478.528
1086	IMG_0323	815.117		783.137
1087	IMG_0323	814.053		1267.050
1088	IMG_0323	828.527		562.633
1089	IMG_0323	811.434		1488.307
1090	IMG_0323	809.993		1745.308
1091	IMG_0323	821.443		2275.266
1092	IMG_0323	839.047		2551.900
1093	IMG_0323	919.957		1388.929
1094	IMG_0323	1043.163	774.757
1095	IMG_0323	1055.285	1000.152
1096	IMG_0323	1055.636	1277.197
1097	IMG_0323	1052.194	1738.396
1098	IMG_0323	1064.247	2257.989
1099	IMG_0323	1083.150	2080.412
1100	IMG_0323	1105.810	2010.741
1101	IMG_0323	1171.903	863.849
1102	IMG_0323	1278.253	580.919
1103	IMG_0323	1296.404	771.555
1104	IMG_0323	1303.087	1269.033
1105	IMG_0323	1301.834	1728.729
1106	IMG_0323	1308.436	1515.035
1107	IMG_0323	1307.111	2268.038
1108	IMG_0323	1325.578	2545.348
1109	IMG_0323	1435.246	2307.288
1110	IMG_0323	1451.417	1371.702
1111	IMG_0323	1528.575	994.088
1112	IMG_0323	1529.000	764.000
1113	IMG_0323	1534.324	1716.607
1114	IMG_0323	1561.811	1253.932
1115	IMG_0323	1557.454	2258.057
1116	IMG_0323	1569.073	2087.284
1117	IMG_0323	1655.860	1819.973
1118	IMG_0323	1676.685	694.686
1119	IMG_0323	1757.167	561.878
1120	IMG_0323	1761.819	766.349
1121	IMG_0323	1774.691	1259.431
